epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.828,1.19609,1.92055,1.27187,0.69186,0.35902,0.49357,0.29034,1.26676,2.3775,1.39366,0.00058,0.00058,0.00058
2,42.4106,1.17905,1.38828,1.28782,0.29459,0.30457,0.20009,0.07551,1.79578,2.94762,2.40513,0.00116832,0.00116832,0.00116832
3,62.8872,1.26405,1.38598,1.31871,0.25096,0.33503,0.19738,0.08243,2.03403,3.15791,2.33806,0.00174476,0.00174476,0.00174476
4,83.2563,1.27815,1.36353,1.347,0.69559,0.56345,0.6398,0.35479,1.54262,1.94893,1.78057,0.0019406,0.0019406,0.0019406
5,103.674,1.23167,1.23966,1.33211,0.68957,0.5533,0.60159,0.33527,1.52253,1.66179,1.73764,0.0019208,0.0019208,0.0019208
6,124.055,1.21509,1.14581,1.31113,0.67943,0.69036,0.68888,0.37502,1.47482,1.66548,1.58836,0.001901,0.001901,0.001901
7,144.484,1.19623,1.07714,1.28724,0.78167,0.72335,0.78186,0.46855,1.34679,1.29858,1.4737,0.0018812,0.0018812,0.0018812
8,164.856,1.18711,1.05589,1.28284,0.72229,0.69543,0.74245,0.39624,1.56063,1.24719,1.67578,0.0018614,0.0018614,0.0018614
9,185.221,1.17537,1.00785,1.28705,0.80372,0.78987,0.84901,0.51071,1.29891,1.01647,1.41621,0.0018416,0.0018416,0.0018416
10,205.601,1.13242,0.95147,1.23865,0.81772,0.78563,0.85854,0.52519,1.24233,0.99684,1.37797,0.0018218,0.0018218,0.0018218
11,225.98,1.16281,0.96686,1.26308,0.84271,0.75888,0.82146,0.51783,1.25956,1.04305,1.38798,0.001802,0.001802,0.001802
12,246.383,1.10221,0.90278,1.22425,0.82542,0.78002,0.8294,0.53661,1.2276,1.06474,1.38367,0.0017822,0.0017822,0.0017822
13,266.893,1.13553,0.93279,1.26645,0.8397,0.77157,0.86102,0.55672,1.20249,0.92668,1.33516,0.0017624,0.0017624,0.0017624
14,287.271,1.07924,0.85764,1.21546,0.88894,0.79442,0.89424,0.58519,1.15731,0.8704,1.2679,0.0017426,0.0017426,0.0017426
15,307.631,1.0793,0.86485,1.22456,0.83555,0.82533,0.88333,0.56942,1.18751,0.9183,1.29922,0.0017228,0.0017228,0.0017228
16,327.93,1.07045,0.84903,1.20738,0.83922,0.74188,0.84211,0.54878,1.16608,0.91154,1.30956,0.001703,0.001703,0.001703
17,348.281,1.06274,0.82265,1.20444,0.85237,0.73858,0.82832,0.54228,1.20119,1.03315,1.39532,0.0016832,0.0016832,0.0016832
18,368.602,1.04813,0.80279,1.18761,0.8514,0.81436,0.8858,0.58075,1.11422,0.82469,1.2694,0.0016634,0.0016634,0.0016634
19,388.948,1.04863,0.83031,1.20258,0.87431,0.81211,0.88167,0.58196,1.16098,0.82177,1.31862,0.0016436,0.0016436,0.0016436
20,409.265,1.01194,0.78769,1.18062,0.85745,0.75635,0.84348,0.56903,1.15486,0.90051,1.32991,0.0016238,0.0016238,0.0016238
21,429.613,1.04531,0.78915,1.18669,0.91203,0.78938,0.88951,0.60583,1.10142,0.84279,1.25154,0.001604,0.001604,0.001604
22,449.978,1.00467,0.77127,1.17188,0.89737,0.77676,0.86774,0.58548,1.11966,0.85637,1.27027,0.0015842,0.0015842,0.0015842
23,470.346,1.00756,0.74147,1.15864,0.91755,0.85025,0.91911,0.62458,1.10603,0.7753,1.24288,0.0015644,0.0015644,0.0015644
24,490.825,1.00406,0.75249,1.1687,0.8965,0.82234,0.90847,0.60117,1.13458,0.76606,1.25842,0.0015446,0.0015446,0.0015446
25,511.166,0.99784,0.73342,1.15768,0.84344,0.87507,0.9237,0.61875,1.08418,0.71524,1.2239,0.0015248,0.0015248,0.0015248
26,531.534,0.97122,0.70368,1.15295,0.85483,0.82995,0.89617,0.63614,1.05937,0.73262,1.22238,0.001505,0.001505,0.001505
27,551.904,1.00271,0.70817,1.1634,0.89245,0.84241,0.92054,0.63037,1.08227,0.69993,1.24769,0.0014852,0.0014852,0.0014852
28,572.221,0.96942,0.70666,1.15,0.89142,0.85431,0.91686,0.63636,1.09276,0.70112,1.23182,0.0014654,0.0014654,0.0014654
29,592.589,0.96609,0.70013,1.14556,0.90009,0.87056,0.92362,0.651,1.05428,0.69141,1.22549,0.0014456,0.0014456,0.0014456
30,612.97,0.95216,0.69182,1.13359,0.88056,0.84203,0.90189,0.64015,1.03852,0.69033,1.22927,0.0014258,0.0014258,0.0014258
31,633.329,0.94086,0.67792,1.13075,0.9345,0.83291,0.91368,0.64396,1.06467,0.69462,1.2407,0.001406,0.001406,0.001406
32,653.685,0.96398,0.70632,1.16589,0.90916,0.86365,0.92607,0.62192,1.07618,0.69467,1.21669,0.0013862,0.0013862,0.0013862
33,674.047,0.93973,0.67661,1.12731,0.92197,0.8397,0.92659,0.64331,1.05326,0.70141,1.20132,0.0013664,0.0013664,0.0013664
34,694.329,0.95601,0.68157,1.12996,0.92449,0.88579,0.93502,0.65772,1.01817,0.66102,1.1605,0.0013466,0.0013466,0.0013466
35,714.823,0.92151,0.65759,1.12241,0.87962,0.8731,0.92033,0.64924,1.03162,0.65836,1.18702,0.0013268,0.0013268,0.0013268
36,735.138,0.91961,0.63707,1.11684,0.89507,0.87563,0.92175,0.66106,1.01612,0.64295,1.17255,0.001307,0.001307,0.001307
37,755.509,0.92045,0.64773,1.1273,0.91048,0.85189,0.91903,0.65645,1.02848,0.66787,1.18742,0.0012872,0.0012872,0.0012872
38,775.837,0.91326,0.64151,1.12371,0.90569,0.82875,0.90843,0.63211,1.09497,0.67327,1.25799,0.0012674,0.0012674,0.0012674
39,796.092,0.92247,0.64931,1.11172,0.91428,0.8401,0.91826,0.64177,1.08704,0.66992,1.24912,0.0012476,0.0012476,0.0012476
40,816.358,0.91912,0.64527,1.11941,0.92309,0.83249,0.92857,0.65873,1.07443,0.64629,1.22432,0.0012278,0.0012278,0.0012278
41,836.615,0.91097,0.62109,1.1088,0.92447,0.88325,0.93924,0.68316,0.99446,0.61874,1.17165,0.001208,0.001208,0.001208
42,856.911,0.89281,0.61816,1.09857,0.91274,0.86802,0.92378,0.66302,1.00853,0.65676,1.19924,0.0011882,0.0011882,0.0011882
43,877.238,0.87576,0.6122,1.10801,0.93238,0.8749,0.93302,0.66253,0.97105,0.62274,1.15049,0.0011684,0.0011684,0.0011684
44,897.613,0.88735,0.61801,1.10853,0.93086,0.8401,0.9234,0.65639,1.01637,0.64632,1.19697,0.0011486,0.0011486,0.0011486
45,917.964,0.87266,0.61213,1.09752,0.92055,0.89086,0.93978,0.68505,0.97117,0.59644,1.16095,0.0011288,0.0011288,0.0011288
46,938.422,0.89163,0.59939,1.0996,0.9434,0.86041,0.93726,0.67846,0.97338,0.60905,1.15997,0.001109,0.001109,0.001109
47,958.695,0.88679,0.59773,1.10521,0.92994,0.85533,0.92079,0.66367,1.03265,0.63998,1.196,0.0010892,0.0010892,0.0010892
48,978.925,0.86414,0.58654,1.0989,0.93239,0.86294,0.93697,0.68897,0.9895,0.59521,1.16324,0.0010694,0.0010694,0.0010694
49,999.237,0.85865,0.57702,1.08604,0.92695,0.88579,0.93591,0.67706,0.98888,0.5846,1.16852,0.0010496,0.0010496,0.0010496
50,1019.57,0.84146,0.57135,1.07881,0.92688,0.86868,0.93652,0.65343,1.01907,0.6108,1.18213,0.0010298,0.0010298,0.0010298
51,1039.85,0.84748,0.56855,1.07303,0.92684,0.90031,0.9464,0.6799,0.97575,0.58055,1.13911,0.00101,0.00101,0.00101
52,1060.17,0.82071,0.55105,1.06449,0.90904,0.87563,0.94015,0.68359,0.99016,0.58266,1.15282,0.0009902,0.0009902,0.0009902
53,1080.45,0.84,0.56985,1.08443,0.92151,0.88832,0.93019,0.67668,0.95112,0.59998,1.1372,0.0009704,0.0009704,0.0009704
54,1100.77,0.83192,0.57058,1.07683,0.94527,0.87667,0.93508,0.68867,0.97494,0.57109,1.13371,0.0009506,0.0009506,0.0009506
55,1121.01,0.8318,0.56127,1.06822,0.93387,0.896,0.93889,0.68421,0.98491,0.57964,1.1534,0.0009308,0.0009308,0.0009308
56,1141.31,0.82939,0.55143,1.06465,0.93343,0.88964,0.93374,0.66795,0.96983,0.57339,1.1477,0.000911,0.000911,0.000911
57,1161.73,0.82797,0.54558,1.06043,0.93297,0.90609,0.94576,0.68425,0.97703,0.56125,1.14214,0.0008912,0.0008912,0.0008912
58,1181.97,0.80421,0.53847,1.06111,0.92559,0.88071,0.94296,0.68102,1.00577,0.59139,1.15778,0.0008714,0.0008714,0.0008714
59,1202.28,0.81368,0.54752,1.0569,0.93542,0.90863,0.94968,0.6888,0.9827,0.54456,1.15725,0.0008516,0.0008516,0.0008516
60,1222.65,0.80573,0.53726,1.05319,0.91154,0.88917,0.93785,0.68637,0.96231,0.57391,1.14108,0.0008318,0.0008318,0.0008318
61,1242.86,0.79236,0.52977,1.05263,0.92906,0.89742,0.9482,0.71342,0.94524,0.56476,1.13271,0.000812,0.000812,0.000812
62,1263.19,0.78072,0.52099,1.03963,0.92394,0.88071,0.93812,0.69404,0.97689,0.59953,1.15313,0.0007922,0.0007922,0.0007922
63,1283.48,0.79237,0.52363,1.03537,0.93955,0.90738,0.95457,0.67953,1.00096,0.56779,1.17823,0.0007724,0.0007724,0.0007724
64,1303.75,0.82115,0.53858,1.04302,0.92232,0.90411,0.94802,0.69083,0.98373,0.5459,1.16377,0.0007526,0.0007526,0.0007526
65,1323.9,0.78654,0.52911,1.04392,0.9572,0.90814,0.95215,0.71236,0.93172,0.51451,1.12123,0.0007328,0.0007328,0.0007328
66,1344.05,0.79097,0.51292,1.05055,0.93975,0.89848,0.94787,0.71498,0.93719,0.53784,1.10852,0.000713,0.000713,0.000713
67,1364.4,0.76239,0.51659,1.04706,0.94872,0.8922,0.94351,0.70136,0.95039,0.53519,1.12282,0.0006932,0.0006932,0.0006932
68,1384.62,0.77669,0.51189,1.04328,0.93603,0.89126,0.94137,0.69906,0.95545,0.5454,1.13453,0.0006734,0.0006734,0.0006734
69,1404.87,0.74572,0.49039,1.02106,0.94884,0.89594,0.94803,0.71213,0.94704,0.52671,1.12973,0.0006536,0.0006536,0.0006536
70,1425.05,0.76501,0.49611,1.02808,0.94152,0.89594,0.95064,0.71362,0.93495,0.52147,1.12255,0.0006338,0.0006338,0.0006338
71,1445.26,0.77253,0.50593,1.03641,0.94942,0.8934,0.94938,0.71434,0.95099,0.54054,1.11405,0.000614,0.000614,0.000614
72,1465.52,0.75626,0.4947,1.03004,0.93829,0.89086,0.94885,0.70238,0.95836,0.53927,1.12221,0.0005942,0.0005942,0.0005942
73,1485.72,0.74479,0.49769,1.02103,0.92544,0.91358,0.94808,0.71065,0.94866,0.51226,1.13202,0.0005744,0.0005744,0.0005744
74,1505.95,0.76298,0.49763,1.03392,0.94246,0.91452,0.95839,0.72267,0.9285,0.50374,1.10421,0.0005546,0.0005546,0.0005546
75,1526.39,0.74912,0.49503,1.03341,0.93943,0.90863,0.94933,0.7126,0.93162,0.51546,1.10911,0.0005348,0.0005348,0.0005348
76,1546.81,0.73899,0.48886,1.02306,0.93832,0.91624,0.95292,0.71137,0.93744,0.49059,1.12199,0.000515,0.000515,0.000515
77,1566.99,0.7284,0.48503,1.01824,0.93007,0.90102,0.94614,0.72287,0.92325,0.50811,1.1084,0.0004952,0.0004952,0.0004952
78,1587.42,0.72904,0.47303,1.02084,0.93941,0.90509,0.95504,0.72286,0.93738,0.51789,1.11265,0.0004754,0.0004754,0.0004754
79,1607.64,0.73672,0.4805,1.01659,0.93746,0.90102,0.95896,0.71983,0.92972,0.51247,1.10879,0.0004556,0.0004556,0.0004556
80,1627.86,0.72079,0.45978,1.01525,0.95313,0.8934,0.9565,0.72016,0.91781,0.51132,1.10087,0.0004358,0.0004358,0.0004358
81,1648.09,0.71249,0.46393,1.01814,0.9495,0.90102,0.95851,0.7213,0.92213,0.49435,1.10394,0.000416,0.000416,0.000416
82,1668.28,0.69974,0.46457,1.00971,0.94718,0.9103,0.95638,0.72263,0.92264,0.49461,1.09344,0.0003962,0.0003962,0.0003962
83,1688.46,0.7129,0.45928,1.0024,0.93987,0.89594,0.9565,0.73106,0.92422,0.49215,1.10584,0.0003764,0.0003764,0.0003764
84,1708.61,0.70128,0.46068,1.00413,0.9449,0.91398,0.95644,0.72888,0.92774,0.50557,1.11202,0.0003566,0.0003566,0.0003566
85,1728.73,0.6971,0.46191,0.9979,0.95715,0.90715,0.95395,0.73207,0.90729,0.49863,1.09815,0.0003368,0.0003368,0.0003368
86,1748.88,0.70113,0.45745,1.00685,0.96273,0.9179,0.95989,0.73583,0.90315,0.48311,1.09376,0.000317,0.000317,0.000317
87,1769.3,0.68564,0.44443,0.99855,0.95169,0.91371,0.9562,0.73739,0.89545,0.48342,1.09,0.0002972,0.0002972,0.0002972
88,1789.48,0.71273,0.45379,1.00381,0.93846,0.9264,0.95891,0.7405,0.89472,0.48025,1.09081,0.0002774,0.0002774,0.0002774
89,1809.61,0.69208,0.46259,1.0083,0.95704,0.90457,0.95686,0.73317,0.91041,0.48315,1.09422,0.0002576,0.0002576,0.0002576
90,1829.82,0.68495,0.44816,1.00952,0.94424,0.90258,0.95346,0.72951,0.91683,0.4842,1.10398,0.0002378,0.0002378,0.0002378
91,1850.81,0.5974,0.36779,0.91887,0.95623,0.88727,0.94029,0.70595,0.9282,0.49783,1.12296,0.000218,0.000218,0.000218
92,1871.09,0.59597,0.349,0.91786,0.94468,0.91117,0.95217,0.71873,0.9141,0.47901,1.09928,0.0001982,0.0001982,0.0001982
93,1891.43,0.5701,0.33047,0.90673,0.95184,0.91878,0.96426,0.73376,0.90602,0.47525,1.08926,0.0001784,0.0001784,0.0001784
94,1911.7,0.56971,0.32375,0.9124,0.96236,0.90859,0.95772,0.72719,0.89734,0.47735,1.08725,0.0001586,0.0001586,0.0001586
95,1932,0.5679,0.32409,0.90545,0.93795,0.92078,0.9593,0.7315,0.89832,0.48093,1.08795,0.0001388,0.0001388,0.0001388
96,1952.21,0.55141,0.31778,0.90426,0.95485,0.91241,0.96316,0.74048,0.89543,0.47691,1.08476,0.000119,0.000119,0.000119
97,1972.42,0.54534,0.31753,0.90018,0.95484,0.91232,0.96294,0.7428,0.89015,0.47344,1.08409,9.92e-05,9.92e-05,9.92e-05
98,1992.6,0.53987,0.30875,0.89639,0.95933,0.91117,0.95944,0.74382,0.88277,0.46423,1.07598,7.94e-05,7.94e-05,7.94e-05
99,2012.78,0.53407,0.30828,0.88579,0.96188,0.91117,0.96105,0.74302,0.88557,0.46226,1.0771,5.96e-05,5.96e-05,5.96e-05
100,2032.97,0.53525,0.30339,0.89633,0.96497,0.90885,0.961,0.74301,0.88445,0.45765,1.07577,3.98e-05,3.98e-05,3.98e-05
